"C","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.32246,1,0.55,0,-5,-0.45
0.32195,1,0.551,0,-5,-0.449
0.32145,1,0.552,0,-5,-0.448
0.32094,1,0.553,0,-5,-0.447
0.32044,1,0.554,0,-5,-0.446
0.31993,1,0.555,0,-5,-0.445
0.31943,1,0.556,0,-5,-0.444
0.31893,1,0.557,0,-5,-0.443
0.31842,1,0.558,0,-5,-0.442
0.31792,1,0.559,0,-5,-0.441
0.31741,1,0.56,0,-5,-0.44
0.31691,1,0.561,0,-5,-0.439
0.3164,1,0.562,0,-5,-0.438
0.3159,1,0.563,0,-5,-0.437
0.31539,1,0.564,0,-5,-0.436
0.31489,1,0.565,0,-5,-0.435
0.31439,1,0.566,0,-5,-0.434
0.31388,1,0.567,0,-5,-0.433
0.31338,1,0.568,0,-5,-0.432
0.31287,1,0.569,0,-5,-0.431
0.31237,1,0.57,0,-5,-0.43
0.31186,1,0.571,0,-5,-0.429
0.31136,1,0.572,0,-5,-0.428
0.31086,1,0.573,0,-5,-0.427
0.31035,1,0.574,0,-5,-0.426
0.30985,1,0.575,0,-5,-0.425
0.30934,1,0.576,0,-5,-0.424
0.30884,1,0.577,0,-5,-0.423
0.30833,1,0.578,0,-5,-0.422
0.30783,1,0.579,0,-5,-0.421
0.30732,1,0.58,0,-5,-0.42
0.30682,1,0.581,0,-5,-0.419
0.30632,1,0.582,0,-5,-0.418
0.30581,1,0.583,0,-5,-0.417
0.30531,1,0.584,0,-5,-0.416
0.3048,1,0.585,0,-5,-0.415
0.3043,1,0.586,0,-5,-0.414
0.30379,1,0.587,0,-5,-0.413
0.30329,1,0.588,0,-5,-0.412
0.30278,1,0.589,0,-5,-0.411
0.30228,1,0.59,0,-5,-0.41
0.30178,1,0.591,0,-5,-0.409
0.30127,1,0.592,0,-5,-0.408
0.30077,1,0.593,0,-5,-0.407
0.30026,1,0.594,0,-5,-0.406
0.29976,1,0.595,0,-5,-0.405
0.29925,1,0.596,0,-5,-0.404
0.29875,1,0.597,0,-5,-0.403
0.29824,1,0.598,0,-5,-0.402
0.29774,1,0.599,0,-5,-0.401
0.29722,1,0.6,0,-5,-0.4
0.29647,1,0.601,0,-5,-0.399
0.29571,1,0.602,0,-5,-0.398
0.29496,1,0.603,0,-5,-0.397
0.2942,1,0.604,0,-5,-0.396
0.29344,1,0.605,0,-5,-0.395
0.29269,1,0.606,0,-5,-0.394
0.29193,1,0.607,0,-5,-0.393
0.29118,1,0.608,0,-5,-0.392
0.29042,1,0.609,0,-5,-0.391
0.28967,1,0.61,0,-5,-0.39
0.28891,1,0.611,0,-5,-0.389
0.28815,1,0.612,0,-5,-0.388
0.2874,1,0.613,0,-5,-0.387
0.28664,1,0.614,0,-5,-0.386
0.28589,1,0.615,0,-5,-0.385
0.28513,1,0.616,0,-5,-0.384
0.28438,1,0.617,0,-5,-0.383
0.28362,1,0.618,0,-5,-0.382
0.28286,1,0.619,0,-5,-0.381
0.28211,1,0.62,0,-5,-0.38
0.28135,1,0.621,0,-5,-0.379
0.2806,1,0.622,0,-5,-0.378
0.27984,1,0.623,0,-5,-0.377
0.27909,1,0.624,0,-5,-0.376
0.27833,1,0.625,0,-5,-0.375
0.27757,1,0.626,0,-5,-0.374
0.27682,1,0.627,0,-5,-0.373
0.27606,1,0.628,0,-5,-0.372
0.27531,1,0.629,0,-5,-0.371
0.27455,1,0.63,0,-5,-0.37
0.2738,1,0.631,0,-5,-0.369
0.27304,1,0.632,0,-5,-0.368
0.27228,1,0.633,0,-5,-0.367
0.27153,1,0.634,0,-5,-0.366
0.27077,1,0.635,0,-5,-0.365
0.27002,1,0.636,0,-5,-0.364
0.26926,1,0.637,0,-5,-0.363
0.26851,1,0.638,0,-5,-0.362
0.26775,1,0.639,0,-5,-0.361
0.26699,1,0.64,0,-5,-0.36
0.26624,1,0.641,0,-5,-0.359
0.26548,1,0.642,0,-5,-0.358
0.26473,1,0.643,0,-5,-0.357
0.26397,1,0.644,0,-5,-0.356
0.26322,1,0.645,0,-5,-0.355
0.26246,1,0.646,0,-5,-0.354
0.2617,1,0.647,0,-5,-0.353
0.26095,1,0.648,0,-5,-0.352
0.26019,1,0.649,0,-5,-0.351
0.25942,1,0.65,0,-5,-0.35
0.25852,1,0.651,0,-5,-0.349
0.25762,1,0.652,0,-5,-0.348
0.25672,1,0.653,0,-5,-0.347
0.25582,1,0.654,0,-5,-0.346
